,title,url,level
0,           CROSS RAY (feat.月下Lia) S4 & S7 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=0ZPOOFCWw9I&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=1,1~5
1,           Cygnus S4 & S7 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=CzekZxzA4uA&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=2,1~5
2,           Tropicanic S2 & S4 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=c8-Qnc5v94E&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=3,1~5
3,           Tepris S2 & S4        ,https://youtube.com/watch?v=3sZaF3Hgv7U&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=4,1~5
4,           Arcade D1~D5 Song List        ,https://youtube.com/watch?v=cpyvZrMAoUk&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=5,1~5
5,           Arcade S1~S5 Song List        ,https://youtube.com/watch?v=7qKk1iAuWsw&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=6,1~5
6,           Free Style S5 & S9(Update for 2.07) | PIU XX 2.07 Update        ,https://youtube.com/watch?v=diV017PS44Y&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=7,1~5
7,           Sugar Plum S4 & S7 | PIU XX 2.07 Update        ,https://youtube.com/watch?v=kuM3nYhFxqo&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=8,1~5
8,           Wedding Crashers - SHORT CUT - S4 & S7 (Update for 2.06) | PIU XX 2.06 Update        ,https://youtube.com/watch?v=Q6NZPRAUoVs&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=9,1~5
9,           Pop Sequence S5 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=IP2JaRkc2Aw&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=10,1~5
10,           Slapstick Parfait S3 & S7 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=F6XgxWVR0Cw&list=PLCS0nOWWS-PmrVJFFl8o013uiXKXTe2t0&index=11,1~5
